X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0151850956465,38.9111289486642,13005668,3rd St NW and Q St NW,2013/01/13 05:00:00+00,1808-1809,2013/01/13 05:00:00+00,2013,1,5D,Ward 5,Sexual Orientation,,Simple Assault,901240,398683.19001273,138139.95001363,38.91112116,-77.01518281,,{ECA00B60-A2BB-46D9-9E22-5852D7CDFC2A},,,MPD,2024/02/16 21:02:52+00,4171,
-77.0218075405059,38.9679410500389,13016960,600 block of Tewkesbury Pl NW,2013/02/05 05:00:00+00,2200,2013/02/07 05:00:00+00,2013,2,4D,Ward 4,Religion,Jewish,Damage/Defacing/Destruction of Property,803021,398110.33,144446.71,38.96793325,-77.02180525,,{AA732AC4-FC73-4D61-AC22-4DC573AB7473},,,MPD,2024/02/16 21:02:52+00,4172,
-77.0229835388427,38.9029507962568,13017988,800 block of Mt Vernon Pl NW,2013/02/09 05:00:00+00,1400-1405,2013/02/09 05:00:00+00,2013,2,3D,Ward 2,Sexual Orientation,,Simple Assault,813971,398006.6,137232.25,38.90294301,-77.02298125,,{BDCC8310-1984-482C-B322-30DDF97B62A3},,,MPD,2024/02/16 21:02:52+00,4173,
-77.0080923909328,38.8346776865708,13024055,3800 block of South Capitol St SE,2013/02/22 05:00:00+00,1440-1448,2013/02/22 05:00:00+00,2013,2,7D,Ward 8,Gender Identity/Expression,,ADW,811674,399297.59,129653.21,38.83466991,-77.00809011,,{65D203E1-D890-4AF0-8D82-07F579E32FA8},,,MPD,2024/02/16 21:02:52+00,4174,
-77.0332438056735,38.917004587679,13027781,1400 block of U St NW,2013/03/03 05:00:00+00,0159-0200,2013/03/03 05:00:00+00,2013,3,3D,Ward 2,Sexual Orientation,,Simple Assault,802845,397117.19,138792.61,38.9169968,-77.03324151,,{5AD5F647-5B6B-493D-BBBE-082747C77948},,,MPD,2024/02/16 21:02:52+00,4175,
-77.0396554650008,38.9246640795471,13031810,1700 block of Columbia Rd NW,2013/03/11 04:00:00+00,2034,2013/03/11 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Threats,800952,396561.52,139643.1,38.92465629,-77.03965317,,{E998308F-BD0A-4E15-A11F-999AB2F33A0C},,,MPD,2024/02/16 21:02:52+00,4176,
-76.9672354710177,38.8676581070057,13032136,2800 block of Texas Ave SE Apt B5,2013/03/12 04:00:00+00,1400,2013/03/12 04:00:00+00,2013,3,6D,Ward 7,Sexual Orientation,,Threats,801310,402843.60777659,133314.74866515,38.86765032,-76.9672332,,{BDDB79FD-4373-4707-A3A1-8EBB84A72D1E},,,MPD,2024/02/16 21:02:52+00,4177,
-77.0158203240768,38.9165114363281,13033386,1900 block of 3rd St NW,2013/03/14 04:00:00+00,2249-2250,2013/03/14 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,805459,398628.2,138737.46,38.91650365,-77.01581803,,{6585B27C-73B7-4795-AD5F-BFAC5FAA316E},,,MPD,2024/02/16 21:02:52+00,4178,
-76.9943615210471,38.900209966604,13036237,800 block of H St NE,2013/03/20 04:00:00+00,1737,2013/03/20 04:00:00+00,2013,3,1D,Ward 6,Gender Identity/Expression,,Simple Assault,812904,400489.3,136927.76,38.90020218,-76.99435924,,{EB0A8037-0238-4ADA-A38E-2AD086D3D5CC},,,MPD,2024/02/16 21:02:52+00,4179,
-77.0239575879362,38.9169979424866,13037458,9th St NW and U St NW,2013/03/23 04:00:00+00,0210-0215,2013/03/23 04:00:00+00,2013,3,3D,Ward 1,Sexual Orientation,,Simple Assault,900954,397922.51999603,138791.61999823,38.91699015,-77.0239553,,{15EBFD1C-D383-4FEF-80E2-D579EB3869BF},,,MPD,2024/02/16 21:02:52+00,4180,
-77.0396554650008,38.9246640795471,13044090,1700 block of Columbia Rd NW,2013/04/06 04:00:00+00,0124,2013/04/06 04:00:00+00,2013,4,3D,Ward 1,Race,Asian,Simple Assault,800952,396561.52,139643.1,38.92465629,-77.03965317,,{CB4A4F7F-1605-4720-B5E9-001D45641E30},,,MPD,2024/02/16 21:02:52+00,4181,
-76.9411424281998,38.8841459476645,13046481,4400 block of Texas Ave SE,2013/04/10 04:00:00+00,1904,2013/04/10 04:00:00+00,2013,4,6D,Ward 7,Ethnicity/National Origin,Latino/Hispanic,ADW,804930,405106.86461069,135146.15903485,38.88413816,-76.94114016,,{DE7A37DF-592F-4E64-A67B-C35CACA95696},,,MPD,2024/02/16 21:02:52+00,4182,
-76.9937982915684,38.8615099878848,13046217,Howard Rd SE and Martin Luther King Jr Ave SE,2013/04/10 04:00:00+00,1044,2013/04/10 04:00:00+00,2013,4,7D,Ward 8,Sexual Orientation,,Simple Assault,902586,400538.44825445,132631.77064851,38.86150221,-76.99379601,,{83F7EBF1-7BDD-41C1-B4B9-3440476A2D37},,,MPD,2024/02/16 21:02:52+00,4183,
-77.0319524771756,38.9080463335711,13053916,1300 block of 14th St NW,2013/04/25 04:00:00+00,5300,2013/04/25 04:00:00+00,2013,4,3D,Ward 2,Sexual Orientation,,Robbery,802156,397228.83,137798.13,38.90803854,-77.03195018,,{7B2DAC5B-4BCC-4C33-9254-9CAB788A621E},,,MPD,2024/02/16 21:02:52+00,4184,
-77.0270417110095,38.9105556842231,13059479,11th St NW and Rhode Island Ave NW,2013/05/03 04:00:00+00,1800,2013/05/05 04:00:00+00,2013,5,3D,Ward 2,Sexual Orientation,,Damage/Defacing/Destruction of Property,906102,397654.84319578,138076.55081357,38.9105479,-77.02703942,,{4E47C0BF-F99F-42AA-B1AA-157F5600D01B},,,MPD,2024/02/16 21:02:52+00,4185,
-76.9799399046093,38.9015545898341,13064348,1600 block of Maryland Ave NE,2013/05/12 04:00:00+00,1800-1900,2013/05/14 04:00:00+00,2013,5,5D,Ward 5,Sexual Orientation,,Simple Assault,809645,401740.25,137077.2,38.9015468,-76.97993763,,{CA2E4F3B-6C6B-4E2E-A0CE-CB4AE8F14BEA},,,MPD,2024/02/16 21:02:52+00,4186,
-76.9804120159451,38.8964380103393,13067771,500 block of 17th St NE,2013/05/21 04:00:00+00,0115-0118,2013/05/21 04:00:00+00,2013,5,5D,Ward 7,Race,White,Simple Assault,802353,401699.42,136509.21,38.89643022,-76.98040974,,{785AE195-BDB0-42FE-9E99-FB9FE302CDD1},,,MPD,2024/02/16 21:02:52+00,4187,
-77.0390641962061,38.9143243383526,13073757,1800 block of New Hampshire Ave NW,2013/06/01 04:00:00+00,0215,2013/06/01 04:00:00+00,2013,6,3D,Ward 2,Sexual Orientation,,Robbery,813547,396612.3,138495.28,38.91431655,-77.0390619,,{E498938F-862E-4BF2-8FB1-BB04A6BD1840},,,MPD,2024/02/16 21:02:52+00,4188,
-76.9316644707118,38.9078734347425,13075701,1300 block of 49th St NE,2013/06/04 04:00:00+00,1800,2013/06/04 04:00:00+00,2013,6,6D,Ward 7,Sexual Orientation,,Simple Assault,801552,405927.23,137780.67,38.90786564,-76.93166221,,{8FD6C898-B6C7-433E-B25B-AE3480199FB5},,,MPD,2024/02/16 21:02:52+00,4189,
-76.926016714176,38.8943656154204,13077377,5200 block of Cloud Pl NE,2013/06/07 04:00:00+00,1957,2013/06/07 04:00:00+00,2013,6,6D,Ward 7,Race,White,Threats,807563,406418.29910791,136281.5760599,38.89435783,-76.92601445,,{620901FB-7FC4-40D7-8CF3-3C76BA433BE3},,,MPD,2024/02/16 21:02:52+00,4190,
-77.0058867726756,38.8337546316613,13080496,3800 block of 1st St SE,2013/06/13 04:00:00+00,1825-1830,2013/06/13 04:00:00+00,2013,6,7D,Ward 8,Sexual Orientation,,Simple Assault,811521,399489.08239748,129550.72997365,38.83374686,-77.00588449,,{457E81D7-0C75-4ADA-9B56-30C217C96322},,,MPD,2024/02/16 21:02:52+00,4191,
-77.0192055904926,38.9012292607558,13081164,500 block of Massachusetts Ave NW,2013/06/14 04:00:00+00,2123-2124,2013/06/14 04:00:00+00,2013,6,1D,Ward 2,Sexual Orientation,,Simple Assault,806791,398334.26,137041.07,38.90122147,-77.0192033,,{3B28AD67-26FE-45E8-8030-FA713BCD93ED},,,MPD,2024/02/16 21:02:52+00,4192,
-76.9822293701577,38.8662546092758,13081519,16th St SE and Good Hope Rd SE,2013/06/15 04:00:00+00,1248,2013/06/15 04:00:00+00,2013,6,7D,Ward 8,Sexual Orientation,,Simple Assault,901851,401542.41999938,133158.590009,38.86624683,-76.98222709,,{725785D3-9A19-4982-8561-96D1008AD137},,,MPD,2024/02/16 21:02:52+00,4193,
-76.9846742533237,38.9054902461732,13084477,1500 block of Tinidad Ave NE,2013/06/20 04:00:00+00,1841-1855,2013/06/20 04:00:00+00,2013,6,5D,Ward 5,Race,White,Threats,800035,401329.51,137514.01,38.90548246,-76.98467197,,{4BF7437C-0A9C-404D-9787-185A2E1CA2A6},,,MPD,2024/02/16 21:02:52+00,4194,
-77.0319555858751,38.914470001592,13086807,1800 block of 14th St NW,2013/06/24 04:00:00+00,2100,2013/06/24 04:00:00+00,2013,6,3D,Ward 2,Gender Identity/Expression,,Simple Assault,810471,397228.81,138511.21,38.91446221,-77.03195329,,{5D925B48-C7D6-4826-B494-5F6F533A5981},,,MPD,2024/02/16 21:02:52+00,4195,
-76.9137675439217,38.8962993655398,13088119,500 block of Eastern Ave NE,2013/06/27 04:00:00+00,0535-0536,2013/06/27 04:00:00+00,2013,6,6D,Ward 7,Gender Identity/Expression,,ADW,804552,407480.72,136497.17,38.89629157,-76.91376529,,{3704EFF6-E2A7-40AE-94BE-29E1179A8A18},,,MPD,2024/02/16 21:02:52+00,4196,
-76.9739743126414,38.8635423389654,13093081,2300 block of Good Hope Rd SE,2013/07/03 04:00:00+00,2030-2040,2013/07/03 04:00:00+00,2013,7,7D,Ward 8,Sexual Orientation,,ADW,815940,402258.92,132857.68,38.86353456,-76.97397204,,{F10AAA1A-02A4-4A4B-9BA5-4AE02A7553E5},,,MPD,2024/02/16 21:02:52+00,4197,
-77.0169191262798,38.9025278086911,13095740,400 block of K St NW,2013/07/07 04:00:00+00,1810-1200,2013/07/08 04:00:00+00,2013,7,1D,Ward 6,Race,Black,Threats,816529,398532.62,137185.18,38.90252002,-77.01691684,,{07A85238-2F76-4590-93C0-FEEB02596738},,,MPD,2024/02/16 21:02:52+00,4198,
-77.0300204822679,38.8998355507956,13095260,1300 block of H St NW,2013/07/09 04:00:00+00,1345,2013/07/09 04:00:00+00,2013,7,2D,Ward 2,Race,Multiple,Threats,803708,397396.1,136886.61,38.89982776,-77.03001819,,{765B6CF8-ED11-4C39-B123-60B796895C1A},,,MPD,2024/02/16 21:02:52+00,4199,
-77.0319537815252,38.9191926208164,13096591,14th St NW and W St NW,2013/07/11 04:00:00+00,2155-2215,2013/07/11 04:00:00+00,2013,7,3D,Ward 1,Sexual Orientation,,ADW,905984,397229.15001138,139035.45999846,38.91918483,-77.03195149,,{A3274707-A55D-405D-8308-B2B64D7065FB},,,MPD,2024/02/16 21:02:52+00,4200,
-77.0307884077483,38.9170078728893,13097871,1300 block of U Street NW,2013/07/14 04:00:00+00,0219,2013/07/14 04:00:00+00,2013,7,3D,Ward 1,Race,White,Simple Assault,804518,397330.13,138792.9,38.91700008,-77.03078611,,{F49608F0-51EB-43E3-BEAD-94708760D34F},,,MPD,2024/02/16 21:02:52+00,4201,
-77.0413007310602,38.9216247320086,13097888,2300 block of Champlain St NW,2013/07/14 04:00:00+00,0248,2013/07/14 04:00:00+00,2013,7,3D,Ward 1,Race,Black,Simple Assault,813215,396418.7,139305.77,38.92161694,-77.04129843,,{19EEFD3B-CFDB-4BA5-9B7A-E871CA4E6110},,,MPD,2024/02/16 21:02:52+00,4202,
-77.0416831324842,38.9182889923559,13101721,2100 block of 18th St NW,2013/07/21 04:00:00+00,0418,2013/07/21 04:00:00+00,2013,7,3D,Ward 1,Race,White,ADW,813741,396385.37,138935.49,38.9182812,-77.04168083,,{004AACA0-F5CC-4799-A1F1-0EAC7155412F},,,MPD,2024/02/16 21:02:52+00,4203,
-77.020914492172,38.8998196995033,13104935,600 block of H St NW,2013/07/26 04:00:00+00,2340-2349,2013/07/26 04:00:00+00,2013,7,1D,Ward 2,Gender Identity/Expression,,Simple Assault,807858,398185.99,136884.63,38.89981191,-77.0209122,,{4F93ABEC-6660-430E-8EEF-7304CBAE01FC},,,MPD,2024/02/16 21:02:52+00,4204,
-77.0396125289498,38.9231455613056,13105009,1700 block of Euclid St NW,2013/07/27 04:00:00+00,0126,2013/07/27 04:00:00+00,2013,7,3D,Ward 1,Race,White,Robbery,803896,396565.17,139474.53,38.92313777,-77.03961023,,{1F59F9FB-33CE-4CE3-8616-1016D61EDD10},,,MPD,2024/02/16 21:02:52+00,4205,
-77.0058879300899,38.9046946742164,13108311,1st ST NE and Pierce St NE,2013/08/01 04:00:00+00,2100-2105,2013/08/02 04:00:00+00,2013,8,1D,Ward 6,Sexual Orientation,,Damage/Defacing/Destruction of Property,901051,399489.49001348,137425.59999696,38.90468689,-77.00588564,,{F2055745-4EAF-4C4B-996D-520DD1A6D649},,,MPD,2024/02/16 21:02:52+00,4206,
-77.0255165960402,38.9418803715162,13109824,Georgia Ave NW and Upshur St NW,2013/08/04 04:00:00+00,1100-1101,2013/08/04 04:00:00+00,2013,8,4D,Ward 4,Gender Identity/Expression,,ADW,901333,397788.0900119,141553.82000079,38.94187258,-77.0255143,,{7D58B148-E087-4BA0-A6E9-6834590E2133},,,MPD,2024/02/16 21:02:52+00,4207,
-77.0332436347909,38.9181221614116,13120264,1400 block of V St NW,2013/08/24 04:00:00+00,0051,2013/08/24 04:00:00+00,2013,8,3D,Ward 1,Gender Identity/Expression,,ADW,811679,397117.25,138916.67,38.91811437,-77.03324134,,{57E90DCE-6F7A-426A-9D0C-EBB61F6C3FD9},,,MPD,2024/02/16 21:02:52+00,4208,
-76.9372536380768,38.8891016963331,13125881,4500 block of Benning Rd SE,2013/09/03 04:00:00+00,2133,2013/09/03 04:00:00+00,2013,9,6D,Ward 7,Ethnicity/National Origin,Asian,Simple Assault,803852,405443.89,135696.51,38.88909391,-76.93725137,,{57B396CF-C7DA-4280-B253-3C04A23F2179},,,MPD,2024/02/16 21:02:52+00,4209,
-77.020914492172,38.8998196995033,13128491,600 block of H St NW,2013/09/08 04:00:00+00,1555-1559,2013/09/08 04:00:00+00,2013,9,1D,Ward 2,Race,Asian,Simple Assault,807858,398185.99,136884.63,38.89981191,-77.0209122,,{63C7A25B-6BB3-4BB3-9614-7BEE62FCEE80},,,MPD,2024/02/16 21:02:52+00,4210,
-77.0035132401417,38.9172839282845,13131421,2000 block of 2nd St NE,2013/09/14 04:00:00+00,0150,2013/09/14 04:00:00+00,2013,9,5D,Ward 5,Sexual Orientation,,Simple Assault,806269,399695.52,138823.1,38.91727614,-77.00351095,,{E1CF4933-FFA5-4A34-872A-91CB7A0580AF},,,MPD,2024/02/16 21:02:52+00,4211,
-77.0519054257246,38.9242076033088,13133719,2600 block of Connecticut Ave NW,2013/09/17 04:00:00+00,13-133719,2013/09/17 04:00:00+00,2013,9,2D,Ward 3,Religion,Jewish,Damage/Defacing/Destruction of Property,807493,395499.25,139592.96,38.92419981,-77.05190312,,{261EFD2F-18F3-4E73-AB6A-C8C93AB1F2FD},,,MPD,2024/02/16 21:02:52+00,4212,
-76.9925446566259,38.8584308303037,13145014,2600 block of Stanton Rd SE,2013/10/08 04:00:00+00,2230-2238,2013/10/08 04:00:00+00,2013,10,7D,Ward 8,Sexual Orientation,,Robbery,811275,400647.28,132289.97,38.85842305,-76.99254238,,{6982854A-A12B-46D8-9530-076A582580F9},,,MPD,2024/02/16 21:02:52+00,4213,
-76.9256200185062,38.8818553185762,13149438,5300 block of E St SE,2013/10/17 04:00:00+00,1643,2013/10/17 04:00:00+00,2013,10,6D,Ward 7,Sexual Orientation,,Damage/Defacing/Destruction of Property,815121,406453.84419594,134892.86447461,38.88184753,-76.92561776,,{51DAF188-AA22-4B4A-9595-3F05DCCEFE15},,,MPD,2024/02/16 21:02:52+00,4214,
-77.0259414922037,38.9268615487222,13150239,Harvard St NW and Sherman Ave NW,2013/10/19 04:00:00+00,0030,2013/10/19 04:00:00+00,2013,10,3D,Ward 1,Sexual Orientation,,ADW,905903,397750.78066787,139886.61049525,38.92685376,-77.0259392,,{6DC07A0B-E99B-4C0C-A7A9-DCFE10CF1FD2},,,MPD,2024/02/16 21:02:52+00,4215,
-76.9908890922677,38.8825277431881,13155414,1100 block of Pennsylvania Ave SE,2013/10/26 04:00:00+00,1500,2013/10/26 04:00:00+00,2013,10,1D,Ward 6,Gender Identity/Expression,,Simple Assault,800670,400790.70681469,134964.91916268,38.88251996,-76.99088681,,{73FF6BEF-7E57-40AF-A42D-BE652131191B},,,MPD,2024/02/16 21:02:52+00,4216,
-77.021921360622,38.9029466268509,13154097,7th St NW and Mount Vernon Pl NW,2013/10/26 04:00:00+00,0228,2013/10/26 04:00:00+00,2013,10,3D,Ward 6,Gender Identity/Expression,,Simple Assault,904395,398098.73350019,137231.76447678,38.90293884,-77.02191907,,{561EE6C6-0F64-4959-94A3-92FDFD4A3D87},,,MPD,2024/02/16 21:02:52+00,4217,
-77.0365007496088,38.9186374567917,13180758,2100 block of 16th St NW,2013/12/18 05:00:00+00,1951,2013/12/18 05:00:00+00,2013,12,3D,Ward 1,Race,Black,Simple Assault,805292,396834.81,138973.98,38.91862967,-77.03649845,,{068F94F0-FB0E-4DD4-9672-15CD6767C2B8},,,MPD,2024/02/16 21:02:52+00,4218,
-76.9997189518702,38.8330243738162,13180997,400 block of Xenia St SE,2013/12/19 05:00:00+00,0815-0820,2013/12/19 05:00:00+00,2013,12,7D,Ward 8,Race,Unspecified,ADW,801020,400024.6,129469.65,38.8330166,-76.99971667,,{D68D11B6-8B69-452B-BFCE-AD17482EA6D9},,,MPD,2024/02/16 21:02:52+00,4219,
-76.9713563317619,38.8516665262436,14001090,2400 block of Alabama Ave SE,2014/01/03 05:00:00+00,0242,2014/01/01 05:00:00+00,2014,1,7D,Ward 8,Sexual Orientation,,Robbery,806892,402486.54336026,131539.4476395,38.85165875,-76.97135406,,{B8B20EBA-16FA-4844-8C82-C46BAA8ABD22},,,MPD,2024/02/16 21:02:52+00,4220,
-77.0073516864204,38.9542902092414,14012327,5300 block of RockCreek Church Rd NE,2014/01/26 05:00:00+00,0129-0140,2014/01/26 05:00:00+00,2014,1,4D,Ward 5,Sexual Orientation,,Simple Assault,812346,399362.97,142931.14,38.95428241,-77.0073494,,{7D14858E-0A0C-43B4-8D41-EBC7014FF942},,,MPD,2024/02/16 21:02:52+00,4221,
-76.996173594083,38.890377856885,14016376,Unit block of 7th St NE,2014/02/03 05:00:00+00,1525-1558,2014/02/03 05:00:00+00,2014,2,1D,Ward 6,Political Affiliation,,Threats,808382,400332.16,135836.31,38.89037007,-76.99617131,,{FF67A06E-D765-4677-8652-CCCCC9054645},,,MPD,2024/02/16 21:02:52+00,4222,
-77.0718981328182,38.922553804513,14017169,3600 block of Calvert St NW,2014/02/04 05:00:00+00,0900-1200,2014/02/04 05:00:00+00,2014,2,2D,Ward 3,Sexual Orientation,,Damage/Defacing/Destruction of Property,804152,393765.45,139410.55,38.92254601,-77.07189583,,{CF98D5D4-A55B-40F8-B7A4-09EA05D29036},,,MPD,2024/02/16 21:02:52+00,4223,
-77.0147886703067,38.8954446425989,14018072,400 block of 2nd St NW,2014/02/07 05:00:00+00,0650-0653,2014/02/07 05:00:00+00,2014,2,1D,Ward 6,Gender Identity/Expression,,Simple Assault,279729,398717.29,136398.86,38.89543686,-77.01478638,,{FD13563C-B2B7-47D3-9469-E62689CDB32F},,,MPD,2024/02/16 21:02:52+00,4224,
-77.0403007981408,38.9042457411316,14020570,1100 block of Connecticut Ave NW,2014/02/12 05:00:00+00,1000-1005,2014/02/12 05:00:00+00,2014,2,2D,Ward 2,Sexual Orientation,,Simple Assault,807498,396504.56,137376.52,38.90423795,-77.0402985,,{1B44D516-44D0-4383-B291-3AA3E0D86C82},,,MPD,2024/02/16 21:02:52+00,4225,
-77.0105973688667,38.922380232145,14023245,Unit block of Channing St NW,2014/02/18 05:00:00+00,2135-2140,2014/02/18 05:00:00+00,2014,2,3D,Ward 5,Sexual Orientation,,Threats,811709,399081.23,139388.88,38.92237244,-77.01059508,,{39F4F94A-A5C6-4805-B73E-F98C5DF32F49},,,MPD,2024/02/16 21:02:52+00,4226,
-77.0436092614514,38.9099352176321,14024251,1300 block of Connecticut Ave NW,2014/02/20 05:00:00+00,2233,2014/02/20 05:00:00+00,2014,2,2D,Ward 2,Religion,Muslim,Damage/Defacing/Destruction of Property,800193,396217.89,138008.23,38.90992743,-77.04360696,,{6E74E846-0A24-4D04-94DD-27943FFA3429},,,MPD,2024/02/16 21:02:52+00,4227,
-77.0514187809942,38.9029852354212,14024321,24th St NW and Pennsylvania Ave NW,2014/02/21 05:00:00+00,0150-0154,2014/02/21 05:00:00+00,2014,2,2D,Ward 2,Sexual Orientation,,Simple Assault,900099,395540.12207381,137237.07820479,38.90297745,-77.05141648,,{DC409686-E221-4576-A880-E6B12B1EFF94},,,MPD,2024/02/16 21:02:52+00,4228,
-77.0145484059231,38.9421966407002,14025713,200 block of Upshur St NW,2014/02/23 05:00:00+00,1700-1711,2014/02/23 05:00:00+00,2014,2,4D,Ward 4,Disability,,Simple Assault,800327,398738.96,141588.72,38.94218884,-77.01454612,,{20885A1E-84C1-48A7-B7EB-F07C4CAD8420},,,MPD,2024/02/16 21:02:52+00,4229,
-76.9975691902957,38.8607798451617,14027299,1100 block of Summer Rd SE,2014/02/26 05:00:00+00,2019,2014/02/26 05:00:00+00,2014,2,7D,Ward 8,Sexual Orientation,,Simple Assault,809887,400211.17174215,132550.70396044,38.86077206,-76.99756691,,{99F9F174-2307-4F5A-806A-2E82E4EC6C23},,,MPD,2024/02/16 21:02:52+00,4230,
-77.0401601076432,38.9484059132861,14029582,4700 block of Blagden Terrace NW,2014/03/03 05:00:00+00,1700,2014/03/03 05:00:00+00,2014,3,4D,Ward 4,Sexual Orientation,,Sexual Abuse,807557,396518.92,142278.67,38.94839812,-77.04015781,,{A7F466BB-573C-4A36-9FF6-968B860B1966},,,MPD,2024/02/16 21:02:52+00,4231,
-77.0279521294854,38.9619873611676,14036236,5900 block of Georgia Ave NW,2014/03/16 04:00:00+00,1601-1615,2014/03/16 04:00:00+00,2014,3,4D,Ward 4,Sexual Orientation,,Simple Assault,816437,397577.63,143785.94,38.96197956,-77.02794983,,{B79783CC-BA4E-48B9-B996-AD2FB8B23A9F},,,MPD,2024/02/16 21:02:52+00,4232,
-76.983790075875,38.8468592802987,14037147,1400 block of Congress Pl SE,2014/03/18 04:00:00+00,1920-1929,2014/03/18 04:00:00+00,2014,3,7D,Ward 8,Gender Identity/Expression,,Threats,801783,401407.35657526,131005.544375,38.8468515,-76.9837878,,{F81D74EF-1118-4278-AF84-5C1DBDBA7167},,,MPD,2024/02/16 21:02:52+00,4233,
-76.9280145346192,38.8814805329844,14051643,5200 block of F St SE,2014/04/14 04:00:00+00,1845-1850,2014/04/14 04:00:00+00,2014,4,6D,Ward 7,Gender Identity/Expression,,ADW,810329,406246.11472375,134851.09394657,38.88147275,-76.92801227,,{A5328881-0B5C-4656-BC27-05A7788DB7FD},,,MPD,2024/02/16 21:02:52+00,4234,
-76.997040713199,38.9328153666832,14052101,600 block of Michigan Ave NE,2014/04/15 04:00:00+00,1455-1500,2014/04/15 04:00:00+00,2014,4,5D,Ward 5,Gender Identity/Expression,,Robbery,814865,400256.78,140547.22,38.93280757,-76.99703843,,{E2B9220C-7DA4-4C04-9DAE-55FE49A7F97B},,,MPD,2024/02/16 21:02:52+00,4235,
-77.0398504645378,38.9170117998201,14054249,1700 block of U St NW,2014/04/19 04:00:00+00,1900-1901,2014/04/19 04:00:00+00,2014,4,3D,Ward 2,Sexual Orientation,,Simple Assault,808175,396544.24,138793.64,38.91700401,-77.03984817,,{97563410-CF31-4781-8B22-22C80F00109F},,,MPD,2024/02/16 21:02:52+00,4236,
-77.0518016668584,38.8980561578198,14055712,2400 block of Virginia Ave NW,2014/04/22 04:00:00+00,1725,2014/04/22 04:00:00+00,2014,4,2D,Ward 2,Homelessness,,Simple Assault,804406,395506.6,136689.93,38.89804837,-77.05179937,,{A7FA389F-846C-4A59-8552-9C0A84C252DA},,,MPD,2024/02/16 21:02:52+00,4237,
-77.0327957447313,38.9025305560349,14067414,1400 block of K St NW,2014/05/12 04:00:00+00,1700-1910,2014/05/13 04:00:00+00,2014,5,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,805270,397155.47,137185.86,38.90252277,-77.03279345,,{23D388FE-C933-47DA-9D6C-3AFF5266A7AA},,,MPD,2024/02/16 21:02:52+00,4238,
-77.0327378468684,38.9316144252323,14068447,3400 block of 14th St NW,2014/05/15 04:00:00+00,0150-0153,2014/05/15 04:00:00+00,2014,5,4D,Ward 1,Gender Identity/Expression,,ADW,805082,397161.65,140414.41,38.93160663,-77.03273555,,{214A3B60-8B20-48DA-B38C-09E53C133A91},,,MPD,2024/02/16 21:02:52+00,4239,
-77.0532984533546,38.9062416499669,14073281,1200 block of 25th St NW,2014/05/23 04:00:00+00,0439,2014/05/23 04:00:00+00,2014,5,2D,Ward 2,Race,White,Damage/Defacing/Destruction of Property,800476,395377.29,137598.66,38.90623386,-77.05329615,,{37A248B9-3CDE-4F53-8A51-A18AC71B3AF1},,,MPD,2024/02/16 21:02:52+00,4240,
-77.0072755105189,38.8251589440866,14074002,Unit block of Forrester St SW,2014/05/24 04:00:00+00,1248,2014/05/24 04:00:00+00,2014,5,7D,Ward 8,Sexual Orientation,,Simple Assault,810043,399368.43,128596.56,38.82515117,-77.00727323,,{8D8E491B-8FC8-425C-A609-F5DBA0E1665F},,,MPD,2024/02/16 21:02:52+00,4241,
-77.0307876911204,38.9118758233668,14074059,1300 block of Corcoran St NW,2014/05/24 04:00:00+00,1520-1522,2014/05/24 04:00:00+00,2014,5,3D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,811946,397330,138223.2,38.91186803,-77.0307854,,{842286D1-D197-473E-BB81-5646E9254463},,,MPD,2024/02/16 21:02:52+00,4242,
-76.9815032941509,38.8672737137364,14082778,1600 block of T St SE,2014/06/08 04:00:00+00,1500,2014/06/08 04:00:00+00,2014,6,6D,Ward 8,Sexual Orientation,,Threats,807225,401605.40950344,133271.73055311,38.86726593,-76.98150102,,{897FE22A-E39F-49FF-B0AF-F746D163C3C5},,,MPD,2024/02/16 21:02:52+00,4243,
-77.0071038514963,38.8846456709948,14083820,400 block of New Jersey Ave SE,2014/06/10 04:00:00+00,1342-1722,2014/06/10 04:00:00+00,2014,6,1D,Ward 6,Religion,Muslim,Threats,812200,399383.85,135200.01,38.88463789,-77.00710157,,{24B1A804-DA1A-47AE-B94D-968B9E0D295C},,,MPD,2024/02/16 21:02:52+00,4244,
-77.0273354190814,38.9511777691516,14088758,5000 block of Georgia Ave NW,2014/06/18 04:00:00+00,2335-2338,2014/06/18 04:00:00+00,2014,6,4D,Ward 4,Race,Unspecified,ADW,804988,397630.72,142585.96,38.95116997,-77.02733312,,{C7DCE359-9F56-404C-B963-CA3FB46EF683},,,MPD,2024/02/16 21:02:52+00,4245,
