X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,SE_ANNO_CAD_DATA,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SHAPE
-77.0269301155263,38.9627085316662,20154832,900 block of Peabody St NW,2020/10/29 04:00:00+00,1223,2020/10/29 04:00:00+00,2020,10,4D,Ward 4,Race,Black,Simple Assault,802249,397666.23,143865.97,38.96270073,-77.02692782,,{695DCA63-0C73-4E26-B657-731C05C3A22D},,,MPD,2024/02/16 21:02:52+00,5374,
-77.0136763426002,38.9096485236958,20168473,100 block of P St NW,2020/11/25 05:00:00+00,1820,2020/11/25 05:00:00+00,2020,11,1D,Ward 5,Sexual Orientation,,Threats,813275,398814.02,137975.59,38.90964073,-77.01367405,,{7E975308-FDA5-4917-94A3-B1D5FA7592BD},,,MPD,2024/02/16 21:02:52+00,5375,
-77.0319513597369,38.9045225373532,20176565,1100 block of 14th St NW,2020/12/12 05:00:00+00,2030,2020/12/12 05:00:00+00,2020,12,2D,Ward 2,Race,Black,Simple Assault,811856,397228.79,137406.96,38.90451475,-77.03194907,,{83892A76-BA7E-4B9E-9D0A-B6463E48A0ED},,,MPD,2024/02/16 21:02:52+00,5376,
-76.9881601722961,38.8664174351122,20184289,1200 block of U St SE,2020/12/30 05:00:00+00,0446,2020/12/30 05:00:00+00,2020,12,7D,Ward 8,Gender Identity/Expression,,ADW,805680,401027.71366291,133176.58140102,38.86640965,-76.98815789,,{F2FF956F-8092-48AE-A028-7846209B69EA},,,MPD,2024/02/16 21:02:52+00,5377,
-77.043243963948,38.9260436019269,21007133,1800 block of Clydesdale Pl NW,2021/01/15 05:00:00+00,1400,2021/01/16 05:00:00+00,2021,1,3D,Ward 1,Race,Black,Threats,807119,396250.42,139796.38,38.92603581,-77.04324167,,{E22A7B6F-3948-4030-94D4-889E3C2B364D},,,MPD,2024/02/16 21:02:52+00,5378,
-77.0405835055617,38.8992139346053,21018353,1700 block of Pennsylvania Ave NW,2021/02/10 05:00:00+00,1612,2021/02/10 05:00:00+00,2021,2,2D,Ward 2,Race,Black,Simple Assault,814006,396479.79,136817.96,38.89920615,-77.04058121,,{5220525F-7E0E-4273-AB62-0F59EF218854},,,MPD,2024/02/16 21:02:52+00,5379,
-77.0143985988513,38.9160906607538,21035703,1900 block of 2nd ST NW,2021/03/20 04:00:00+00,1958,2021/03/20 04:00:00+00,2021,3,3D,Ward 1,Sexual Orientation,,ADW,814469,398751.49,138690.73,38.91608287,-77.01439631,,{5F1459AC-C4A8-481C-A7D9-FA415BFA13DE},,,MPD,2024/02/16 21:02:52+00,5380,
-77.0083902161693,38.8972117280431,21040622,Unit block of Massachusetts Ave NE,2021/03/29 04:00:00+00,1031,2021/03/31 04:00:00+00,2021,3,1D,Ward 6,Ethnicity/National Origin,Asian,Threats,800876,399272.37,136594.95,38.89720394,-77.00838793,,{E53EE63D-C77B-4B1B-989B-952EEF017CFF},,,MPD,2024/02/16 21:02:52+00,5381,
-77.0031771998385,38.9037388129587,21043895,200 block of L St NE,2021/04/06 04:00:00+00,2332,2021/04/07 04:00:00+00,2021,4,5D,Ward 6,Gender Identity/Expression,,ADW,809549,399724.61,137319.48,38.90373102,-77.00317492,,{58A19ED0-10DE-4380-AA3E-361E87F844FF},,,MPD,2024/02/16 21:02:52+00,5382,
-77.0106211667441,38.900215204753,21049761,Unit block of H St NW,2021/04/17 04:00:00+00,1510,2021/04/19 04:00:00+00,2021,4,1D,Ward 6,Ethnicity/National Origin,Asian,Simple Assault,804579,399078.88,136928.38,38.90020742,-77.01061888,,{4AA41815-3074-41F6-BAB0-5B74FCF1EE3F},,,MPD,2024/02/16 21:02:52+00,5383,
-77.0580828364515,38.9348320736476,21053269,3400 block of Connecticut Ave NW,2021/04/26 04:00:00+00,2142,2021/04/26 04:00:00+00,2021,4,2D,Ward 3,Ethnicity/National Origin,Ethiopian,Threats,803643,394964.33,140772.69,38.93482428,-77.05808053,,{E01CE0EF-1A39-4C27-8277-48163F4FE4FB},,,MPD,2024/02/16 21:02:52+00,5384,
-77.020914492172,38.8998196995033,21061601,600 block of H St NW,2021/05/12 04:00:00+00,1620,2021/05/12 04:00:00+00,2021,5,1D,Ward 2,Ethnicity/National Origin,Chinese,Threats,807858,398185.99,136884.63,38.89981191,-77.0209122,,{490649A1-6078-45FB-800F-CA3097246F7C},,,MPD,2024/02/16 21:02:52+00,5385,
-77.0275624497076,38.9025301063239,21071577,1100 block of K St NW,2021/05/31 04:00:00+00,0038,2021/05/31 04:00:00+00,2021,5,2D,Ward 2,Race,Black,Sex Abuse,807343,397609.41,137185.66,38.90252232,-77.02756016,,{6CEDE307-8D94-45C3-B47E-0C7800FBAE4B},,,MPD,2024/02/16 21:02:52+00,5386,
-76.968775850523,38.9245184507708,21083987,2600 block of Evarts St NE,2021/06/22 04:00:00+00,1124,2021/06/22 04:00:00+00,2021,6,5D,Ward 5,Ethnicity/National Origin,Ethiopian,Threats,810016,402707.77,139626.65,38.92451066,-76.96877358,,{6E05CDDD-1AE2-4895-ABBF-855BC6BD4520},,,MPD,2024/02/16 21:02:52+00,5387,
-77.0233002701335,38.9295372096197,21093850,3100 block of Georgia Ave NW,2021/07/09 04:00:00+00,0225,2021/07/09 04:00:00+00,2021,7,4D,Ward 1,Gender Identity/Expression,,ADW,813003,397979.88,140183.57,38.92952942,-77.02329798,,{DC2F1788-263C-4D15-8079-45FC61A3F127},,,MPD,2024/02/16 21:02:52+00,5388,
-77.0012976903741,38.8737887842468,21102327,300 block of Water St SE,2021/07/23 04:00:00+00,2114,2021/07/23 04:00:00+00,2021,7,1D,Ward 8,Ethnicity/National Origin,Hispanic,Robbery,816283,399887.59,133994.79,38.873781,-77.00129541,,{08FA6E38-54AC-43C1-A3DB-ADD6CDBA53B8},,,MPD,2024/02/16 21:02:52+00,5389,
-77.0739077532211,38.9261925439094,21108885,3700 block of Fulton St NW,2021/08/07 04:00:00+00,2127,2021/08/07 04:00:00+00,2021,8,2D,Ward 3,Ethnicity/National Origin,Chinese,Simple Assault,814355,393591.51,139814.62,38.92618475,-77.07390545,,{28F249AB-B1C0-4AE5-B0CB-99266E766D94},,,MPD,2024/02/16 21:02:52+00,5390,
-77.0249774281533,38.9072460197783,21122345,900 block of N St NW,2021/08/28 04:00:00+00,1933,2021/08/28 04:00:00+00,2021,8,3D,Ward 2,Ethnicity/National Origin,Chinese,ADW,809016,397833.78,137709.1,38.90723823,-77.02497514,,{DD0E1D63-3B50-4823-98F9-493504CC87F4},,,MPD,2024/02/16 21:02:52+00,5391,
-77.0334235360629,38.9031480810965,21125631,1000 block of Vermont Ave NW,2021/09/03 04:00:00+00,1557,2021/09/03 04:00:00+00,2021,9,2D,Ward 2,Sexual Orientation,,Simple Assault,807502,397101.04,137254.43,38.90314029,-77.03342124,,{C7179779-ADEC-4FBC-B09F-3347415A78F2},,,MPD,2024/02/16 21:02:52+00,5392,
-77.0327256702028,38.9307153092958,21131993,3300 block of 14th St NW,2021/09/14 04:00:00+00,1920,2021/09/14 04:00:00+00,2021,9,3D,Ward 1,Ethnicity/National Origin,Hispanic,Simple Assault,811139,397162.67,140314.6,38.93070752,-77.03272337,,{7B853FC2-1E36-4703-BBBE-5D8CBBD05DA1},,,MPD,2024/02/16 21:02:52+00,5393,
-77.0074719991955,38.9079080422655,19040518,Unit block of New York Ave NE,2019/03/10 05:00:00+00,0404,2019/03/10 05:00:00+00,2019,3,5D,Ward 5,Sexual Orientation,,Simple Assault,815078,399352.12,137782.32,38.90790025,-77.00746971,,{A7C09736-ABF1-4359-889C-E9968FD0A39F},,,MPD,2024/02/16 21:02:52+00,5394,
-76.9769922122033,38.8990023384651,19151439,1800 block of Benning Rd NE,2019/08/26 04:00:00+00,1632,2019/08/26 04:00:00+00,2019,8,5D,Ward 7,Gender Identity/Expression,,Simple Assault,810828,401996.01,136793.94,38.89899455,-76.97698994,,{83D01BCA-68D9-421E-A549-8F27E7362CF2},,,MPD,2024/02/16 21:02:52+00,5395,
-77.0068088180002,38.9501058095341,21148753,4800 block of Fort Totten Dr NE,2021/10/13 04:00:00+00,1335,2021/10/13 04:00:00+00,2021,10,4D,Ward 5,Sexual Orientation,,Simple Assault,815135,399409.99,142466.63,38.95009801,-77.00680653,,{3D854008-81F7-4F7A-80A0-805609FA50F0},,,MPD,2024/02/16 21:02:52+00,5396,
-77.0575616175291,38.9052535730112,21167545,2800 block of M St NW,2021/11/16 05:00:00+00,1356,2021/11/16 05:00:00+00,2021,11,2D,Ward 2,Race,Black,Simple Assault,809328,395007.45,137489.2,38.90524579,-77.05755932,,{D9D79C1F-299B-48E5-989C-375ABC7EF9D0},,,MPD,2024/02/16 21:02:52+00,5397,
-76.9321033453338,38.9088973993976,21170206,4800 block of Quarles St NE,2021/11/21 05:00:00+00,0821,2021/11/21 05:00:00+00,2021,11,6D,Ward 7,Sexual Orientation,,Damage/Defacing/Destruction of Property,814462,405889.08,137894.31,38.90888961,-76.93210108,,{A3C2B7CD-3AE6-42D6-9C55-DD2A38466B7E},,,MPD,2024/02/16 21:02:52+00,5398,
-77.0264666278808,38.9776415079656,21188192,7200 block of Georgia Ave NW,2021/12/26 05:00:00+00,1754,2021/12/26 05:00:00+00,2021,12,4D,Ward 4,Sexual Orientation,,Simple Assault,806232,397706.88,145523.66,38.97763371,-77.02646433,,{8783FF4E-C008-4097-803F-7E79E5BF315C},,,MPD,2024/02/16 21:02:52+00,5399,
-77.0477182886168,38.9096446239348,22016383,2100 block of P ST NW,2022/02/04 05:00:00+00,1621,2022/02/04 05:00:00+00,2022,2,2D,Ward 2,Race,White,Threats,807038,395861.49,137976.15,38.90963684,-77.04771599,,{62A8D244-39BC-49D2-8944-910C6B0A79E1},,,MPD,2024/02/16 21:02:52+00,5400,
-76.9781322305427,38.8841067911168,22035146,1900 block of D St SE,2022/02/25 05:00:00+00,1115,2022/03/13 05:00:00+00,2022,3,1D,Ward 7,Sexual Orientation,,Threats,800632,401897.51510371,135140.39340284,38.88409901,-76.97812995,,{8BCF0439-2418-4CD9-A426-40F5C794F858},,,MPD,2024/02/16 21:02:52+00,5401,
-76.9782826415198,38.9002003371652,22032355,1700 block of H St NE,2022/03/08 05:00:00+00,0123,2022/03/08 05:00:00+00,2022,3,5D,Ward 5,Homelessness,ADW,,808233,401884.04,136926.9,38.90019255,-76.97828036,,{074E5AE4-B6AF-4A39-8E3B-ECDC4386BA82},,,MPD,2024/02/16 21:02:52+00,5402,
-77.0319558970722,38.9159364685239,22048361,1900 block of 14th St NW,2022/04/07 04:00:00+00,1828,2022/04/07 04:00:00+00,2022,4,3D,Ward 2,Sexual Orientation,,Simple Assault,810664,397228.84,138674,38.91592868,-77.0319536,,{C817F8CA-157E-4E04-A3E0-144E8EC24AE5},,,MPD,2024/02/16 21:02:52+00,5403,
